Baseline,Transect,Total Hits,Hit by loc,Location,prop broine,prop phaaru,prop elyrep,prop conarv,prop cirarv,prop dacglo,prop caremo,prop rha cat,prop symlan,prop taroff,prop scharu,prop syocc,prop salexi,prop medsat,prop typang,prop ulmpum,prop brotec
B17,B17-37.5,33,12,middle,0.75,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00
B17,B17-37.5,33,9,upper ,0.78,0.00,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B17,B17-50,17,0,lower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B17,B17-50,17,5,middle,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B17,B17-50,17,12,upper ,0.67,0.08,0.00,0.08,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B18,B18-0,46,5,lower,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B18,B18-0,46,15,middle,0.00,0.87,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B18,B18-0,46,26,upper ,0.38,0.27,0.04,0.00,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00
B18,B18-12.5,41,8,lower,0.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00
B18,B18-12.5,41,13,middle,0.00,0.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00
B18,B18-12.5,41,20,upper ,0.95,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B18,B18-25,41,9,lower,0.22,0.44,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.00
B18,B18-25,41,13,middle,0.38,0.31,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.00
B18,B18-25,41,19,upper ,0.84,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00
B18,B18-37.5,37,5,lower,0.20,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B18,B18-37.5,37,15,middle,0.40,0.53,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B18,B18-37.5,37,17,upper ,0.76,0.00,0.06,0.06,0.00,0.06,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B18,B18-50,31,5,lower,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B18,B18-50,31,12,middle,0.42,0.42,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B18,B18-50,31,14,upper ,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00
B3,B3-0,9,0,lower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B3,B3-0,9,0,middle,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B3,B3-0,9,9,upper ,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B3,B3-10,35,0,lower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B3,B3-10,35,0,middle,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B3,B3-10,35,35,upper ,0.43,0.00,0.00,0.03,0.37,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03
B3,B3-20,42,0,lower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B3,B3-20,42,13,middle,0.31,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.15,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B3,B3-20,42,29,upper ,0.76,0.00,0.00,0.03,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B3,B3-29,13,0,lower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B3,B3-29,13,4,middle,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B3,B3-29,13,9,upper ,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B3,B3-41,22,0,lower,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B3,B3-41,22,2,middle,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B3,B3-41,22,20,upper ,0.90,0.00,0.00,0.00,0.05,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B5,B5-0,25,1,lower,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B5,B5-0,25,7,middle,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B5,B5-0,25,17,upper ,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00
