"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",0.219051273452682,0.063369844992306,200.999999996118,3.45671152390034,0.000667198017980288
"WIS_GroupedFACU-UPL",-0.00637177917784658,0.0896184942335999,200.999999996105,-0.0710989314464253,0.943389709986941
"WIS_GroupedFACW-OBL",0.3492179588198,0.0896184942335999,200.999999996105,3.8967175448131,0.000132769702670155
"Bank_LocationMiddle",-0.118788668410665,0.096105128297102,200.999999999441,-1.23602840468033,0.217890514871504
"Bank_LocationUpper",-0.0659578391092477,0.0914664926620317,200.999999998403,-0.721114773176683,0.471676809492541
"WIS_GroupedFACU-UPL:Bank_LocationMiddle",0.329047342993116,0.135913175851368,200.999999997259,2.42101136208425,0.0163657736971294
"WIS_GroupedFACW-OBL:Bank_LocationMiddle",0.0273186622388795,0.135913175851368,200.999999996901,0.201000837981703,0.840901168557939
"WIS_GroupedFACU-UPL:Bank_LocationUpper",0.590304859985927,0.129353154425345,200.999999995995,4.56351344973669,8.74743683586315e-06
"WIS_GroupedFACW-OBL:Bank_LocationUpper",-0.392431342658184,0.129353154425345,200.999999995995,-3.0337980113556,0.00273377051975565
