"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",0.396097883597883,0.0511200107204776,239.999999994604,7.74839202917488,2.61895053624192e-13
"NativityNative",0.207804232804234,0.0722946124695574,239.999999992302,2.87440828169233,0.00441109521791886
"Bank_Locationmiddle",0.187727616299045,0.0696648317187401,239.999999996197,2.69472575570072,0.00754248682320278
"Bank_Locationupper",0.548332052937317,0.0685846913889035,239.999999993248,7.99496275091547,5.46740152652346e-14
"NativityNative:Bank_Locationmiddle",-0.37545523259809,0.0985209498370817,239.999999993311,-3.81091771058804,0.000175996529677522
"NativityNative:Bank_Locationupper",-1.09666410587463,0.0969934007333606,239.999999995793,-11.3065847530124,4.83068700395929e-24
