"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",0.439165001665002,0.0727324285338721,134.000000000024,6.03809071850913,1.44214329702189e-08
"NativityNative",0.121669996669997,0.102859186856934,134.000000000024,1.18287923896605,0.238951492827436
"Bank_LocationMiddle",0.166577010952011,0.110304189263147,134.000000000899,1.51016033085214,0.133356998889168
"Bank_LocationUpper",0.41731647981648,0.104980217982116,133.999999999391,3.97519159169181,0.00011441248831385
"NativityNative:Bank_LocationMiddle",-0.333154021904022,0.155993680442511,134.000000000899,-2.13568922124894,0.0345232601556294
"NativityNative:Bank_LocationUpper",-0.83463295963296,0.148464448051192,133.999999999385,-5.62176986200206,1.05398272502581e-07
